

 F
+----------------+-----+----------+-----+-----+-----+-----+----+-----+-----+
|     Phrase     |  F  | Othermax |  A  |  I  |  LR |  R  | SO |  SP |  SS |
+----------------+-----+----------+-----+-----+-----+-----+----+-----+-----+
|   appellant    |  83 |    38    |  14 |  4  |  13 |  38 | 1  |  4  |  0  |
|      High      |  59 |    62    |  34 |  23 |  62 |  51 | 2  |  13 |  3  |
|     Court      |  76 |    82    |  49 |  26 |  80 |  82 | 6  |  65 |  12 |
|     dated      |  47 |    23    |  23 |  7  |  15 |  9  | 0  |  3  |  9  |
|      made      |  48 |    33    |  29 |  7  |  12 |  27 | 5  |  14 |  33 |
|      No.       |  57 |    37    |  9  |  8  |  20 |  18 | 37 |  1  |  7  |
|     State      |  43 |    32    |  29 |  2  |  4  |  29 | 0  |  32 |  7  |
|     filed      |  41 |    16    |  4  |  3  |  16 |  10 | 0  |  2  |  5  |
|      also      |  40 |    34    |  34 |  2  |  19 |  14 | 2  |  15 |  5  |
|   Government   |  45 |    37    |  34 |  1  |  4  |  28 | 5  |  22 |  37 |
|     order      |  46 |    42    |  42 |  15 |  25 |  37 | 3  |  8  |  18 |
|      Rs.       |  58 |    11    |  4  |  0  |  11 |  11 | 0  |  2  |  4  |
|      Act       |  69 |    74    |  55 |  23 |  29 |  52 | 0  |  26 |  74 |
|      said      |  49 |    28    |  24 |  4  |  13 |  28 | 0  |  20 |  13 |
|      year      |  49 |    26    |  23 |  1  |  2  |  14 | 2  |  5  |  26 |
|   plaintiff    |  52 |    23    |  5  |  0  |  23 |  19 | 0  |  7  |  2  |
|   respondent   |  56 |    33    |  33 |  5  |  24 |  20 | 4  |  10 |  1  |
|  partnership   |  38 |    35    |  21 |  3  |  35 |  0  | 2  |  11 |  9  |
|     appeal     |  37 |    35    |  9  |  26 |  32 |  35 | 0  |  6  |  5  |
|      case      |  42 |    78    |  57 |  16 |  21 |  78 | 3  |  48 |  34 |
|  registration  |  33 |    15    |  15 |  6  |  5  |  2  | 0  |  0  |  3  |
|    section     |  26 |    40    |  6  |  6  |  13 |  31 | 0  |  10 |  40 |
|     basis      |  26 |    11    |  9  |  1  |  4  |  11 | 1  |  6  |  6  |
|     issued     |  26 |    17    |  17 |  0  |  2  |  5  | 0  |  3  |  6  |
|      firm      |  46 |    39    |  12 |  2  |  39 |  11 | 2  |  9  |  24 |
|     shall      |  24 |    70    |  30 |  2  |  2  |  15 | 0  |  1  |  70 |
|      gold      |  26 |    8     |  0  |  1  |  5  |  8  | 3  |  0  |  0  |
|      two       |  26 |    15    |  13 |  1  |  9  |  15 | 1  |  4  |  7  |
|     share      |  40 |    31    |  31 |  0  |  8  |  12 | 3  |  28 |  29 |
|      deed      |  22 |    18    |  14 |  0  |  18 |  1  | 0  |  5  |  4  |
|   Committee    |  27 |    24    |  8  |  0  |  0  |  24 | 0  |  6  |  1  |
|      suit      |  36 |    44    |  4  |  2  |  27 |  44 | 0  |  3  |  12 |
|   defendants   |  21 |    21    |  2  |  0  |  21 |  8  | 0  |  0  |  0  |
|  examination   |  32 |    33    |  33 |  0  |  4  |  2  | 0  |  8  |  0  |
|      sale      |  25 |    20    |  20 |  2  |  16 |  16 | 3  |  10 |  14 |
|  notification  |  27 |    22    |  22 |  0  |  1  |  7  | 0  |  3  |  16 |
|     taken      |  20 |    14    |  8  |  3  |  6  |  14 | 2  |  1  |  11 |
|      time      |  31 |    19    |  19 |  2  |  13 |  13 | 0  |  6  |  14 |
|      may       |  20 |    41    |  26 |  2  |  8  |  24 | 3  |  7  |  41 |
|   Income-tax   |  20 |    10    |  7  |  4  |  5  |  2  | 0  |  8  |  10 |
|     value      |  22 |    46    |  46 |  5  |  9  |  2  | 1  |  10 |  23 |
|       1,       |  44 |    12    |  11 |  4  |  6  |  12 | 3  |  11 |  8  |
|     stated     |  22 |    8     |  5  |  0  |  5  |  3  | 0  |  8  |  2  |
|     estate     |  29 |    24    |  4  |  1  |  4  |  4  | 0  |  4  |  24 |
