

 F
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | F  | Othermax | A  | I  | LR | R  | SO | SP | SS |
+--------------------------+----+----------+----+----+----+----+----+----+----+
|      the appellant       | 65 |    34    | 13 | 3  | 12 | 34 | 1  | 3  | 0  |
|        High Court        | 57 |    62    | 33 | 23 | 62 | 51 | 2  | 13 | 3  |
|         the High         | 42 |    40    | 23 | 17 | 40 | 36 | 1  | 8  | 1  |
|        the State         | 33 |    21    | 18 | 0  | 3  | 21 | 0  | 13 | 5  |
|         the said         | 29 |    13    | 7  | 1  | 12 | 13 | 0  | 5  | 9  |
|         the year         | 33 |    7     | 7  | 0  | 1  | 7  | 1  | 1  | 4  |
|          In the          | 25 |    18    | 8  | 1  | 7  | 18 | 1  | 5  | 2  |
|      the plaintiff       | 38 |    20    | 5  | 0  | 20 | 19 | 0  | 5  | 2  |
|         the Act          | 38 |    31    | 22 | 9  | 14 | 21 | 0  | 11 | 31 |
|          It is           | 22 |    24    | 24 | 3  | 9  | 14 | 3  | 16 | 2  |
|        the basis         | 21 |    9     | 6  | 1  | 3  | 9  | 1  | 4  | 3  |
|          of Rs.          | 33 |    6     | 0  | 0  | 6  | 5  | 0  | 1  | 3  |
|         basis of         | 19 |    7     | 7  | 1  | 3  | 7  | 1  | 4  | 3  |
|      the respondent      | 30 |    24    | 24 | 5  | 19 | 19 | 4  | 9  | 1  |
|      the defendants      | 16 |    19    | 1  | 0  | 19 | 8  | 0  | 0  | 0  |
|         shall be         | 16 |    33    | 20 | 0  | 1  | 7  | 0  | 0  | 33 |
|         the case         | 17 |    30    | 17 | 5  | 10 | 30 | 0  | 14 | 15 |
|         value of         | 15 |    27    | 27 | 5  | 4  | 1  | 1  | 8  | 16 |
|      the Government      | 16 |    16    | 16 | 1  | 1  | 10 | 3  | 13 | 11 |
|     the partnership      | 15 |    17    | 4  | 1  | 17 | 0  | 2  | 3  | 2  |
|         Court of         | 14 |    8     | 8  | 6  | 7  | 4  | 1  | 2  | 1  |
|        gold bars         | 16 |    3     | 0  | 1  | 3  | 2  | 1  | 0  | 0  |
|       stated that        | 15 |    2     | 2  | 0  | 2  | 0  | 0  | 1  | 0  |
|      The appellant       | 15 |    2     | 1  | 0  | 0  | 2  | 0  | 0  | 0  |
|     State Government     | 16 |    13    | 7  | 0  | 1  | 13 | 0  | 6  | 0  |
|     partnership deed     | 14 |    7     | 7  | 0  | 6  | 0  | 0  | 2  | 1  |
|       order dated        | 13 |    2     | 2  | 2  | 2  | 0  | 0  | 0  | 0  |
|      under section       | 14 |    10    | 2  | 1  | 10 | 4  | 0  | 3  | 1  |
|         filed a          | 21 |    5     | 2  | 0  | 5  | 3  | 0  | 1  | 3  |
|      appellant was       | 14 |    4     | 3  | 2  | 1  | 4  | 0  | 0  | 0  |
|        in respect        | 14 |    14    | 8  | 1  | 4  | 8  | 0  | 5  | 14 |
|         the firm         | 17 |    7     | 5  | 0  | 7  | 0  | 0  | 1  | 6  |
|         28 gold          | 12 |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|          due to          | 12 |    4     | 3  | 1  | 4  | 3  | 1  | 1  | 0  |
|         the Code         | 14 |    23    | 1  | 6  | 10 | 23 | 2  | 0  | 5  |
|          may be          | 14 |    27    | 10 | 0  | 4  | 10 | 1  | 4  | 27 |
|        respect of        | 12 |    14    | 8  | 1  | 4  | 8  | 0  | 5  | 14 |
|         State of         | 12 |    13    | 5  | 0  | 2  | 10 | 0  | 13 | 4  |
|          to pay          | 12 |    12    | 12 | 0  | 8  | 2  | 0  | 5  | 5  |
|        the estate        | 18 |    13    | 3  | 0  | 1  | 3  | 0  | 0  | 13 |
|      defendant No.       | 12 |    10    | 0  | 1  | 5  | 10 | 0  | 0  | 0  |
|      the aforesaid       | 12 |    9     | 9  | 0  | 0  | 7  | 0  | 7  | 0  |
|        the value         | 12 |    25    | 25 | 4  | 3  | 0  | 0  | 5  | 13 |
|        the Indian        | 11 |    4     | 4  | 1  | 2  | 2  | 0  | 0  | 4  |
